"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
800,"NCT04292730","Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment",,"Active, not recruiting","No Results Available","COVID-19","Drug: Remdesivir|Drug: Standard of Care","The Odds of Ratio for Improvement on a 7-point Ordinal Scale on Day 11|Proportion of Participants experiencing Treatment-Emergent Adverse Events","Gilead Sciences","All","12 Years and older   (Child, Adult, Older Adult)","Phase 3","1600","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GS-US-540-5774|2020-000842-32","March 15, 2020","June 2020","June 2020","March 3, 2020",,"June 2, 2020","Kaiser Permanente Los Angeles Medical Center, 3340 E. La Palma Avenue, Anaheim, California, United States|Alta Bates Summit Medical Center, Berkeley, California, United States|Mills-Peninsula Medical Center, Burlingame, California, United States|Eden Medical Center, Castro Valley, California, United States|Kaiser Permanente Los Angeles Medical Center, 9333 Imperial Highway, Downey, California, United States|Kaiser Permanente Los Angeles Medical Center, 9961 Sierra Ave, Fontana, California, United States|St Joseph Hospital Eureka, Fortuna, California, United States|Kaiser Permanente Los Angeles Medical Center, 25825 S. Vermont Ave., Harbor City, California, United States|Kaiser Permanente Los Angeles Medical Center, Los Angeles, California, United States|Kaiser Permanente Los Angeles Medical Center, 6041 Cadillac Ave., Los Angeles, California, United States|Kaiser Permanente Los Angeles Medical Center, 5601 De Soto Avenue, Los Angeles, California, United States|Mission Hospital Regional Medical Center, Mission Viejo, California, United States|Kaiser Permanente Los Angeles Medical Center,27300 Iris Avenue, Moreno Valley, California, United States|El Camino Hospital, Mountain View, California, United States|Hoag Memorial Hospital Presbyterian, Newport Beach, California, United States|Kaiser Permanente Oakland Medical Center, Oakland, California, United States|Kaiser Permanente Los Angeles Medical Center, 2295 S. Vineyard Avenue, Ontario, California, United States|The Center for Cancer Prevention and Treatment at St. Joseph Hospital of Orange, Orange, California, United States|Kaiser Permanente Los Angeles Medical Center,13651 Willard Street, Panorama City, California, United States|Kaiser Permanente Los Angeles Medical Center, 10800 Magnolia Avenue, Riverside, California, United States|Sutter Medical Center Sacramento, One Medical Plaza, Roseville, California, United States|Sutter Medical Center Sacramento, Sacramento, California, United States|Kaiser Permanente Los Angeles Medical Center, 4647 Zion Avenue, San Diego, California, United States|Kaiser Permanente Los Angeles Medical Center, 9455 Clairemont Mesa Blvd, San Diego, California, United States|Kaiser Permanente Oakland Medical Center, 1200 El Camino Real, San Francisco, California, United States|California Pacific Medical Center-Infectious Disease Associates Medical Group, San Francisco, California, United States|Kaiser Permanente Oakland Medical Center, 2425 Geary Blvd, San Francisco, California, United States|Kaiser Permanente Oakland Medical Center, 250 Hospital Parkway, Suite 850, San Jose, California, United States|Kaiser Permanente Oakland Medical Center, 2500 Merced St, San Leandro, California, United States|Kaiser Permanente Oakland Medical Center, 700 Lawrence Expressway, Santa Clara, California, United States|Providence St. Johns Medical Center, Santa Monica, California, United States|Sutter Santa Rosa Regional Hospital, Santa Rosa, California, United States|Stanford Hospital, Stanford, California, United States|University of Colorado Denver, University of Colorado Hospital, Aurora, Colorado, United States|SCL Health St. Joseph Hospital, 1375 East 19th Ave, Denver, Colorado, United States|SCL Health St. Joseph Hospital, Denver, Colorado, United States|Rose Medical Center, Denver, Colorado, United States|SCL Health St. Joseph Hospital, 200 Exempla Circle., Lafayette, Colorado, United States|Yale University, New Haven, Connecticut, United States|Kaiser Permanente Hawaii Moanalua Medical Center, Honolulu, Hawaii, United States|Cook County General Hospital, Chicago, Illinois, United States|Rush University Medical Center, Chicago, Illinois, United States|University of Chicago, Chicago, Illinois, United States|IU Health Methodist Hospital, Indianapolis, Indiana, United States|University of Iowa Hospitals & Clinics, Iowa City, Iowa, United States|Tulane University, New Orleans, Louisiana, United States|Maine Medical Center, Portland, Maine, United States|Holy Cross Hospital, Silver Spring, Maryland, United States|Tufts Medical Center, Boston, Massachusetts, United States|Brigham & Women's Hospital and Harvard Medical School, Boston, Massachusetts, United States|Center for Virology and Vaccine Research, Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|The University of Michigan Hospitals and Health Systems, Ann Arbor, Michigan, United States|Henry Ford Health System, Detroit, Michigan, United States|Hennepin Healthcare, Minneapolis, Minnesota, United States|Mayo Clinic, Rochester, Minnesota, United States|Providence St Patrick Hospital and International Heart Institute of MT Foundation, Missoula, Montana, United States|Darmouth-Hitchhock Medical Center, Lebanon, New Hampshire, United States|Hackensack Medical Center, Hackensack, New Jersey, United States|Robert Wood Johnson University Hospital Somerset, Hillsborough, New Jersey, United States|Robert Wood Johnson University Hospital Somerset, 1 RWJ Place, New Brunswick, New Jersey, United States|Robert Wood Johnson University Hospital Somerset, 201 Lyons Avenue, Newark, New Jersey, United States|St. Joseph's University Medical Center, Paterson, New Jersey, United States|Jacobi Medical Center, Bronx, New York, United States|James J. Peters Veterans Administration Medical Center, Bronx, New York, United States|Jamaica Hospital Medical Center, Jamaica, New York, United States|Danbury Hospital, Lagrangeville, New York, United States|North Shore University Hospital, Manhasset, New York, United States|North Shore University Hospital, 270-05 76th Ave, New Hyde Park, New York, United States|Icahn School of Medicine at Mount Sinai, 350 East 17th Street, New York, New York, United States|Icahn School of Medicine at Mount Sinai, 1000 10th Avenue, New York, New York, United States|Icahn School of Medicine at Mount Sinai, 440 West 114th St., New York, New York, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Columbia University Irving Medical Center, New York, New York, United States|Weill Cornell Medical College/NYU Presbyterian Hospital, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|Kaiser Sunnyside Medical Center, 2875 NW Stucki Ave, Hillsboro, Oregon, United States|Providence Portland Medical Center, Portland, Oregon, United States|Providence St. Vincent Medical Center, Portland, Oregon, United States|Kaiser Sunnyside Medical Center, Portland, Oregon, United States|Hospital of the University of Pennsylvania, 51 N. 31st Street, Philadelphia, Pennsylvania, United States|Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|The Miriam Hospital, Providence, Rhode Island, United States|Prisma Health Richland Hospital, Columbia, South Carolina, United States|Prisma Health Richland Hospital, 701 Grove Road, Greenville, South Carolina, United States|The Liver Institute of Methodist Dallas Medical Center, Dallas, Texas, United States|UT Southwestern Medical Center Amelia Court, HIV Research Clinic, Dallas, Texas, United States|Baylor University Medical Center, Dallas, Texas, United States|UT Southwestern Medical Center Amelia Court, HIV Research Clinic, 5201 Harry Hines Blvd., Dallas, Texas, United States|UT Southwestern Medical Center Amelia Court, HIV Research Clinic, 6201 Harry Hines Blvd, Dallas, Texas, United States|Baylor University Medical Center, 1400 8th Ave, Fort Worth, Texas, United States|Houston Methodist Hospital, Houston, Texas, United States|Baylor University Medical Center, 2401 S. 31st St., Temple, Texas, United States|University of Utah Health, Salt Lake City, Utah, United States|Virginia Hospital Center, Arlington, Virginia, United States|Inova Fairfax Hospital, Falls Church, Virginia, United States|VCU Health Medical Center, Richmond, Virginia, United States|Providence Medical Research Center, Everett, Washington, United States|Kadlec Regional Medical Center, Kennewick, Washington, United States|Providence St. Peter Hospital, Olympia, Washington, United States|Virginia Mason Medical Center, Seattle, Washington, United States|Swedish Center for Comprehensive Care, Seattle, Washington, United States|MultiCare Deaconess Hospital, Spokane, Washington, United States|MultiCare Tacoma General Hospital, Tacoma, Washington, United States|St Joseph Medical Center, Tacoma, Washington, United States|The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, China|CHU Pellegrin, Bordeaux, France|CHU de Montpellier-Hopital Gui de Chauliac, Montpelier Cedex 5, France|CHU de Nantes-Hotel Dieu, Nantes, France|Hopital Saint-Louis, Paris, France|Hopital Saint Antoine, Paris, France|Charite Universitatsmedizin Berlin, Campus Virchow-Klinikum, Medizinische Klinik Infektiologie Pneumologie, Berlin, Germany|Universitatsklinikum Dusseldorf, Klinik fur Gastroenterologie, Hepatologie und Infektiologie, Düsseldorf, Germany|Universitatsklinikum Hamburg-Eppendorf, Hamburg, Germany|Universitätsklinikum Schleswig-Holstein Campus Kiel, Kiel, Germany|Klinikum St. Georg gGmbH Klinik fur Infektiologie, Tropenmedizin, Nephrologie und Rheumatologie, Leipzig, Germany|Klinikum rechts der Isar der TU Munchen, Klinik und Poliklinik Innere Medizin 2, Munich, Germany|Klinik für Hämatologie, Onkologie, Immunologie, München, Germany|Robert-Bosch-Krankenhaus (RBK), Klinik Schillerhohe (KSH) und Dr. Margarete Fischer-Bosch-Institut fur klinische Pharmakologie (IKP), Stuttgart, Germany|Prince of Wales Hospital, Hong Kong, Hong Kong|Princess Margaret Hospital, Hong Kong, Hong Kong|Queen Mary Hospital, Hong Kong, Hong Kong|UOC Malattie Infettive, ASST Papa Giovanni XXIII, Bergamo, Italy|ASST degli Spedali Civili di Brescia, Brescia, Italy|ASST di Cremona - Azienda Socio Sanitaria Territor, Cremona, Italy|UOC Malattie Infettive, IRCCS Ospedale San Raffaele, Milano, Italy|ASST Fatebenefratelli Sacco, Milano, Italy|UO Malattie Infettive, Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico, Milan, Italy|UOC Malattie Infettive e Tropicali, Azienda Ospedaliera di Padova, Padova PD, Italy|Azienda Ospedaliero Universitaria di Parma, Parma, Italy|Malattie Infettive I, Fondazione IRCCS Policlinico San Matteo, Pavia, Italy|Ospedale Guglielmo da Saliceto AUSL di Piacenza, Piacenza, Italy|UOC Malattie Infettive ad Alta Intensita di Cure, Istituto Nazionale Malattie Infettive Lazzaro Spallanzani I.R.C.C.S., Roma, Italy|Clinica Universitaria Malattie Infettive, Ospedale Amedeo di Savoia, Torino, Italy|Yokohama Municipal Citizen's Hospital, Kanagawa, Japan|Nagoya City East Medical Center, Nagoya, Japan|Tokyo Metropolitan Bokutoh Hospital, Tokyo, Japan|Kyungpook National University Hospital, Daegu, Korea, Republic of|Seoul Medical Center, Seoul, Korea, Republic of|National Medical Center, Seoul, Korea, Republic of|Amsterdam University Medical Centre - Location AMC, Amsterdam, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Erasmus Medical Centre, Rotterdam, Netherlands|National University Hospital, Singapore, Singapore|Singapore General Hospital, Singapore, Singapore|National Centre for Infectious Diseases, Tan Tock Seng Hospital, Singapore, Singapore|Hospital Principe de Asturias, Alcalá De Henares, Madrid, Spain|Complejo Hospitalario Universitario A Coruña, A Coruña, Spain|Hospital Universitario Vall d'Hebron, Barcelona, Spain|Hospital Universitari de Bellvitge, Barcelona, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Hospital Universitario Cruces, Bizkaia, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Regional Universitario de Málaga, Málaga, Spain|Hospital Universitario Virgen del Rocio, Sevilla, Spain|Hospital Universitari i Politecnic La Fe, Valencia, Spain|Sahlgrenska University Hospital, Ostra, Gothenburg, Sweden|SUS (Skanes University Hospital), Malmo, Sweden|Karolinska University Hospital, Stockholm, Sweden|Hopitaux Universitaires de Genève, Genève 14, Switzerland|Ospedale Regionale di Locarno La Carità, Lugano, Switzerland|Universitätsspital Zürich, Zürich, Switzerland|Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan|China Medical University Hospital, Taichung, Taiwan|National Taiwan University Hospital, Taipei City, Taiwan|Imperial College NHS Trust, London, Greater London, United Kingdom|NHS Lothian, Royal lnfirmary of Edinburgh, Edinburgh, United Kingdom|Queen Elizabeth University Hospital, Glasgow, United Kingdom|Hull University Teaching Hospitals NHS Trust, Hull, United Kingdom|Royal Lancaster Hospital, Lancaster, United Kingdom|Liverpool University Hospital, Liverpool, United Kingdom|Northwick Park Hospital, London, United Kingdom|Royal Free London NHS Foundation Trust, London, United Kingdom|King's College Hospital NHS Trust, London, United Kingdom|University College London, London, United Kingdom|Manchester University NHS Foundation Trust, Manchester, United Kingdom|Manchester University NHS Foundation Trust, Manchester, United Kingdom|Pennine Acute Hospitals NHS Trust, Manchester, United Kingdom|Derriford Hospital, Plymouth, United Kingdom|Sheffield Teaching Hospitals, Sheffield, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04292730"
801,"NCT04381312","Direct and Indirect Impact of COVID-19 In Older Populations","COVID-OLD","Recruiting","No Results Available","Risk Factors for COVID-19 Outcomes in Elderly Populations",,"mortality|Risk factors for death|Describe clinical symptoms specific to old population|describe specific and non-specific treatments used for COVID 19|describe all acute complications|functional decline|Rehospitalisation|medical complications|Admission in nursing home|risk factors for 3-month functional decline, acute complication and admission to nursing home","University Hospital, Grenoble","All","70 Years and older   (Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","38RC20.118|2020-A00846-33","April 9, 2020","July 9, 2021","October 9, 2021","May 8, 2020",,"May 8, 2020","Chu Grenoble Alpes, Grenoble Cedex 9, Grenoble, France",,"https://ClinicalTrials.gov/show/NCT04381312"
802,"NCT04431453","Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of Remdesivir (GS-5734™) in Participants From Birth to < 18 Years of Age With Coronavirus Disease 2019 (COVID-19)","CARAVAN","Not yet recruiting","No Results Available","COVID-19","Drug: Remdesivir","Proportion of Participants Experiencing any Treatment-Emergent Adverse Events|Proportion of Participants Experiencing any Treatment-Emergent Graded Laboratory Abnormalities|Plasma Concentrations of Remdesivir (RDV) and Metabolites|Change From Baseline in Oxygenation Use|Change From Baseline in the Use of Mechanical Ventilation or Extracorporeal Membrane Oxygenation (ECMO)|Clinical Improvement on a 7-point Ordinal Scale|Time (days) to Discharge From Hospital|Days to First Confirmed Negative Polymerase Chain Reaction (PCR) Result|Change From Baseline in Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV-2) Viral Load|Bilirubin Concentrations in < 14-day-old Participants|Clinical Improvement Based on Scoring Using the Pediatric Early Warning Score (PEWS) Improvement Scale|Plasma Concentrations of Sulfobutylether β-cyclodextrin Sodium (SBECD)|Proportion of Participants With Concomitant Use of Medications other than RDV for Treatment of Coronavirus Disease 2019 (COVID-19)","Gilead Sciences","All","up to 18 Years   (Child, Adult)","Phase 2|Phase 3","52","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GS-US-540-5823|2020-001803-17","June 2020","December 2020","December 2020","June 16, 2020",,"June 29, 2020",,,"https://ClinicalTrials.gov/show/NCT04431453"
803,"NCT04358549","Study of the Use of Favipiravir in Hospitalized Subjects With COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: Favipiravir + Standard of Care|Drug: Standard of Care","Time to viral clearance|Status of clinical recovery as measured by the study-specific 6-point ordinal scale on Day 15|Clinical effect of favipiravir + SOC compared to SOC measured by the National Early Warning Score 2 (NEWS2)|Characterize the pharmacokinetics (PK) of favipiravir in plasma: Cmax)|Characterized the pharmacokinetics (PK) of favipiravir in plasma: Cmin|Characterized the pharmacokinetics (PK) of favipiravir in plasma: AUC","Fujifilm Pharmaceuticals U.S.A., Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","50","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FAVI-COV-US201","April 17, 2020","August 2020","December 2020","April 24, 2020",,"June 29, 2020","HonorHealth, Scottsdale, Arizona, United States|Boston Medical Center, Boston, Massachusetts, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|UMass Memorial Health Care, Worcester, Massachusetts, United States|Atlantic Health System / Morristown Medical Center, Morristown, New Jersey, United States|Houston Methodist Hospital, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04358549"
804,"NCT04367168","Colchicine Twice Daily During 10 Days as an Option for the Treatment of Symptoms Induced by Inflammation in Patients With Mild and Severe Coronavirus Disease","ColchiVID","Recruiting","No Results Available","COVID","Drug: Colchicine|Drug: Placebo oral tablet","Number of patients with improvement in body temperature, myalgia, arthralgia, total lymphocyte count, D-dimer, fibrinogen and ferritin levels|Progression to severe disease","Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","174","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","337420-21-1","May 27, 2020","April 27, 2021","April 27, 2021","April 29, 2020",,"May 28, 2020","Instituto Nacional de Ciencias Medicas y Nutricion, Mexico City, Mexico",,"https://ClinicalTrials.gov/show/NCT04367168"
805,"NCT04374149","Therapeutic Plasma Exchange Alone or in Combination With Ruxolitinib in COVID-19 Associated CRS",,"Not yet recruiting","No Results Available","Cytokine Release Syndrome|COVID19","Procedure: Therapeutic Plasma Exchange|Drug: Ruxolitinib","Overall Response Rate","Prisma Health-Upstate","All","12 Years to 80 Years   (Child, Adult, Older Adult)","Phase 2","20","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PHU COVID-19-001","April 30, 2020","September 1, 2020","April 30, 2021","May 5, 2020",,"May 5, 2020",,,"https://ClinicalTrials.gov/show/NCT04374149"
806,"NCT04357834","WAVE. Wearable-based COVID-19 Markers for Prediction of Clinical Trajectories","WAVE","Not yet recruiting","No Results Available","COVID|COVID 19|SARS-CoV 2","Other: Equipment with smartwatch throughout hospital stay on the general ward","Diagnostic accuracy of smartwatch data in predicting ICU requirement in COVID-19 contracted inpatients quantified as the area under the receiver operator characteristics curve (AUC ROC > 0.85).|Diagnostic accuracy of routine physiological data in predicting ICU requirement in COVID-19 contracted in-patients quantified as the area under the receiver operator characteristics curve (AUC ROC > 0.85).|Diagnostic accuracy of predicting hospital discharge without ICU admission in COVID-19 contracted in-patients quantified as area under the receiver operator characteristics curve|Change of heart rate from baseline (hospitalization) to ICU admission|Change of heart rate variability from baseline (hospitalization) to ICU admission|Change of skin temperature from baseline (hospitalization) to ICU admission|Change of blood oxygen saturation from baseline (hospitalization) to ICU admission|Change of respiration rate from baseline (hospitalization) to ICU admission|Change of physical activity from baseline (hospitalization) to ICU admission|Change of stress level from baseline (hospitalization) to ICU admission|Change of sleep pattern from baseline (hospitalization) to ICU admission|Change of steps per day from baseline (hospitalization) to ICU admission|Change of systolic blood pressure from baseline (hospitalization) to ICU admission|Change of diastolic blood pressure from baseline (hospitalization) to ICU admission|Change of body temperature from baseline (hospitalization) to ICU admission|Change of oxygen partial pressure (pO2) from baseline (hospitalization) to ICU admission|Change of CO2 partial pressure (pCO2) from baseline (hospitalization) to ICU admission|Change of blood pH from baseline (hospitalization) to ICU admission|Change of bicarbonate from baseline (hospitalization) to ICU admission|Change of base excess from baseline (hospitalization) to ICU admission|Change of oxygen flow rate from baseline (hospitalization) to ICU admission","University Hospital Inselspital, Berne|ETH Zurich","All","18 Years to 120 Years   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Other|Time Perspective: Prospective","WAVE","May 1, 2020","July 31, 2020","July 31, 2020","April 22, 2020",,"April 24, 2020","Emergency Department, University Hospital Bern, Inselspital, Bern, Switzerland",,"https://ClinicalTrials.gov/show/NCT04357834"
807,"NCT04373759","Cardiac Arrest Incidence and Outcome Among Patients With COVID-19 in French ICUs","ACICOVID","Recruiting","No Results Available","Sars-CoV2|Covid-19","Other: Cardiopulmonary resuscitation|Other: Modified Rankin score","Incidence of unexpected cardiac arrest|Charlson score|Organ failure score at ICU admission and/or before unexpected in-ICU cardiac arrest|Etiology retained to explain cardiac arrest occurrence|Modified Rankin score (mRS) at ICU discharge, at hospital discharge and at 3 months","Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2020-CHITS-004","May 2, 2020","September 2020","December 2020","May 4, 2020",,"June 24, 2020","CHU Felix Guyon, Saint-Denis, La Reunion, France|CHU Amiens Picardie, Amiens, France|CH Angoulème, Angoulême, France|CH Argenteuil, Argenteuil, France|CH Bethune, Beuvry, France|CHU Ambroise Paré AP-HP, Boulogne-Billancourt, France|CH Brive, Brive-la-Gaillarde, France|CHU Caen, Caen, France|Hôpital Privé St Martin, Caen, France|CH Cahors, Cahors, France|CHU Antoine Béclère AP-HP, Clamart, France|CH Louis Mourier AP-HP, Colombes, France|CHU Henri Mondor AP-HP, Créteil, France|CHU Dijon, Dijon, France|CH de la Dracénie, Draguignan, France|CHI Frejus St Raphael, Fréjus, France|Grand Hôpital de l'Est Francilien, Jossigny, France|CH La Rochelle, La Rochelle, France|CHU Grenoble-Alpes, La Tronche, France|CH Versailles, Le Chesnay, France|CHU Kremlin Bicêtre, Le Kremlin-Bicêtre, France|CH Lens, Lens, France|CHRU Roger Salengro, Lille, France|CH Sambre Avesnois, Maubeuge, France|CHU Meaux, Meaux, France|Groupe Hospitalier Sud Ile de France, Melun, France|CHU Montpellier, Montpellier, France|CHR Orléans, Orléans, France|CHU Lariboisière AP-HP, Paris, France|CHU Saint Louis AP-HP, Paris, France|CHU St Antoine, Paris, France|Groupe Hospitalier Saint Joseph, Paris, France|CHU Necker Enfants Malades, Paris, France|Groupe Hospitalier Diaconesse Croix Saint-Simon, Paris, France|Hôpital Privé Claude Galien, Quincy-sous-Sénart, France|CHU Rouen, Rouen, France|Centre Hospitalier Intercommunal Toulon La Seyne sur Mer, Toulon, France|Hôpital Nord Franche Comté, Trévenans, France|Institut Gustave Roussy, Villejuif, France|CH Etampes, Étampes, France|CHU Martinique - Fort de France, Fort-de-France, Martinique",,"https://ClinicalTrials.gov/show/NCT04373759"
808,"NCT04359992","Study of Hemostasis in Case of Severe COVID-19","THROMBOVID","Not yet recruiting","No Results Available","COVID-19 Infection","Other: Extra blood sample","Platelet activation intensity with the occurrence of clinical thrombotic complications","University Hospital, Strasbourg, France","All","18 Years and older   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","7774","April 17, 2020","April 17, 2021","May 1, 2021","April 24, 2020",,"April 24, 2020",,,"https://ClinicalTrials.gov/show/NCT04359992"
809,"NCT04428021","Standard or Convalescent Plasma in Patients With Recent Onset of COVID-19 Respiratory Failure","PLACO-COVID","Not yet recruiting","No Results Available","COVID-19","Drug: Standard Therapy Protocol (STP)|Other: STP + Standard Plasma (SP)|Other: STP + COVID-19 Convalescent Plasma (CP)","30-days survival|Ventilator free survival|6-months survival|Incidence of complications|Days in intensive care units (ICU)|Positivity for Immunoglobulin G to SARS-Cov-2|Clearance of viral load|Sequential Organ Failure Assessment (SOFA) score|Any variation from Standard Therapy Protocol","Azienda Ospedaliera Città della Salute e della Scienza di Torino","All","18 Years and older   (Adult, Older Adult)","Phase 2","180","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","CS3/33","June 15, 2020","June 15, 2021","December 15, 2021","June 11, 2020",,"June 11, 2020",,,"https://ClinicalTrials.gov/show/NCT04428021"
